epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,547.929,0.99142,4.18464,0.01899,0.7133,0.64516,0.7262,0.41509,1.22097,4.3576,0.03575,0.000664459,0.000664459,0.000664459
2,1094.42,1.21047,2.44518,0.02374,0.70923,0.67742,0.69709,0.40888,1.34326,2.27352,0.03977,0.0012872,0.0012872,0.0012872
3,1635.65,1.3199,1.78771,0.026,0.73492,0.67075,0.7213,0.41681,1.32935,1.62249,0.03961,0.00186594,0.00186594,0.00186594
4,2180.42,1.34105,1.56404,0.02704,0.7375,0.62533,0.69437,0.41234,1.26923,1.44025,0.03621,0.001802,0.001802,0.001802
5,2744.22,1.31182,1.46843,0.0263,0.77317,0.70161,0.77171,0.47613,1.20576,1.25449,0.03508,0.001736,0.001736,0.001736
6,3311.93,1.27142,1.36686,0.02535,0.78721,0.70161,0.78138,0.47619,1.27627,1.19214,0.03651,0.00167,0.00167,0.00167
7,3883.66,1.27527,1.34669,0.02525,0.76908,0.67097,0.75866,0.46896,1.24702,1.25319,0.03657,0.001604,0.001604,0.001604
8,4452.79,1.24059,1.26337,0.02425,0.82861,0.74355,0.82204,0.54557,1.11063,1.02311,0.03134,0.001538,0.001538,0.001538
9,5010.12,1.22287,1.23343,0.02361,0.77619,0.76774,0.81037,0.51001,1.25599,1.02361,0.03741,0.001472,0.001472,0.001472
10,5561.56,1.17762,1.2116,0.02265,0.83023,0.77299,0.85185,0.56199,1.13608,0.90048,0.03263,0.001406,0.001406,0.001406
11,6112.23,1.19023,1.15331,0.02315,0.80652,0.77317,0.8323,0.51408,1.26076,0.96136,0.03898,0.00134,0.00134,0.00134
12,6661.22,1.13164,1.10751,0.02192,0.86384,0.75721,0.84421,0.57971,1.04863,0.89547,0.03031,0.001274,0.001274,0.001274
13,7211.02,1.10431,1.09027,0.02158,0.85206,0.74194,0.84849,0.59552,1.02725,0.88777,0.02928,0.001208,0.001208,0.001208
14,7761.13,1.10045,1.10486,0.02108,0.81224,0.7871,0.85733,0.60619,1.01491,0.8484,0.02863,0.001142,0.001142,0.001142
15,8312.3,1.07101,1.05508,0.02061,0.86479,0.815,0.88372,0.61968,1.01148,0.79258,0.02817,0.001076,0.001076,0.001076
16,8862.77,1.05241,1.00384,0.02002,0.83459,0.79756,0.8688,0.62309,0.97279,0.79333,0.02738,0.00101,0.00101,0.00101
17,9412.52,1.04337,0.98662,0.02009,0.87688,0.79264,0.88529,0.6239,0.97985,0.75373,0.02769,0.000944,0.000944,0.000944
18,9962.58,1.0168,0.92761,0.0194,0.86693,0.80909,0.88952,0.64789,0.94753,0.72035,0.02625,0.000878,0.000878,0.000878
19,10511.4,0.99519,0.92836,0.01886,0.8598,0.84194,0.90353,0.66049,0.92597,0.67708,0.02583,0.000812,0.000812,0.000812
20,11058.6,0.97265,0.90061,0.01821,0.83391,0.82419,0.89807,0.66695,0.90032,0.67739,0.02482,0.000746,0.000746,0.000746
21,11602.4,0.87579,0.68778,0.0224,0.84116,0.8371,0.88551,0.6554,0.91752,0.71411,0.02492,0.00068,0.00068,0.00068
22,12149.6,0.85758,0.59527,0.02152,0.87502,0.83565,0.90727,0.65961,0.94102,0.64036,0.02599,0.000614,0.000614,0.000614
23,12694,0.83391,0.58278,0.02097,0.88213,0.80645,0.89279,0.66227,0.89012,0.70433,0.02429,0.000548,0.000548,0.000548
24,13239.3,0.80478,0.55524,0.02,0.91871,0.82026,0.90876,0.68438,0.86938,0.62683,0.02344,0.000482,0.000482,0.000482
25,13785.3,0.7691,0.50793,0.01897,0.89628,0.83226,0.90601,0.68085,0.87352,0.63686,0.02351,0.000416,0.000416,0.000416
26,14331.6,0.7572,0.4892,0.01856,0.92485,0.83373,0.91463,0.695,0.86895,0.6185,0.02356,0.00035,0.00035,0.00035
27,14876.4,0.74289,0.47665,0.01835,0.88686,0.85971,0.92395,0.69996,0.86563,0.61271,0.0234,0.000284,0.000284,0.000284
28,15421.5,0.71244,0.45184,0.01715,0.90408,0.84355,0.92648,0.70738,0.83663,0.57127,0.0224,0.000218,0.000218,0.000218
29,15963.5,0.71392,0.45414,0.01728,0.90057,0.85161,0.92496,0.70818,0.83217,0.5844,0.02214,0.000152,0.000152,0.000152
30,16505.7,0.68145,0.43002,0.01644,0.89858,0.85743,0.92222,0.70732,0.82105,0.59061,0.02187,8.6e-05,8.6e-05,8.6e-05
